time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.557447902852199473e-01
2.000000000000000042e-03,7.465789180332389665e-05,-1.454966814191434462e-04,7.465439295775208595e-02,-1.454900502440311660e-01,0.000000000000000000e+00,-5.304360860866245142e-01
4.000000000000000083e-03,2.951896419426331200e-04,-5.752811958475020308e-04,1.458670122486060983e-01,-2.842748572602172286e-01,0.000000000000000000e+00,-5.065696715384799820e-01
6.000000000000000125e-03,6.548649803003580433e-04,-1.276243932394407815e-03,2.137914229853986048e-01,-4.166558403321408699e-01,0.000000000000000000e+00,-4.840505966758936740e-01
8.000000000000000167e-03,1.147249688015550707e-03,-2.235856424600002335e-03,2.785700858689794113e-01,-5.429126755709597907e-01,0.000000000000000000e+00,-4.628309494685101111e-01
1.000000000000000021e-02,1.766189569613645788e-03,-3.442139913160772134e-03,3.403405434143015329e-01,-6.633153552889807791e-01,0.000000000000000000e+00,-4.428646496522715692e-01
1.200000000000000025e-02,2.505800753348376170e-03,-4.883646248318588949e-03,3.992355606784556699e-01,-7.781244658402610703e-01,0.000000000000000000e+00,-4.241031471928787266e-01
1.400000000000000029e-02,3.360459717358833896e-03,-6.549438265232408393e-03,4.553827095627863697e-01,-8.875903812207739385e-01,0.000000000000000000e+00,-4.064963016901625426e-01
1.600000000000000033e-02,4.324792620210599937e-03,-8.429068811247462933e-03,5.089040882720569092e-01,-9.919527201407941641e-01,0.000000000000000000e+00,-3.899930689063789147e-01
1.800000000000000211e-02,5.393664176548729032e-03,-1.051255889428318220e-02,5.599161464555184597e-01,-1.091440009065190342e+00,0.000000000000000000e+00,-3.745420983185147601e-01
2.000000000000000389e-02,6.562166274311936366e-03,-1.279037533515902172e-02,6.085296012099787877e-01,-1.186269522291182321e+00,0.000000000000000000e+00,-3.600922568089995335e-01
2.200000000000000566e-02,7.825606502944375958e-03,-1.525340825394722911e-02,6.548494317361341910e-01,-1.276647275232977385e+00,0.000000000000000000e+00,-3.465930831279581681e-01
2.400000000000000744e-02,9.179496738735255790e-03,-1.789294867495575328e-02,6.989749415367432217e-01,-1.362768149230531911e+00,0.000000000000000000e+00,-3.339951770567968770e-01
2.600000000000000921e-02,1.061954191211579752e-02,-2.070066649338409698e-02,7.409998779551422166e-01,-1.444816127980749876e+00,0.000000000000000000e+00,-3.222505273516715341e-01
2.800000000000001099e-02,1.214162906220057903e-02,-2.366858900857510967e-02,7.810125997026485800e-01,-1.522964627352427547e+00,0.000000000000000000e+00,-3.113127827006456627e-01
3.000000000000001277e-02,1.374181676596972386e-02,-2.678908019389683245e-02,8.190962838269484347e-01,-1.597376901917428649e+00,0.000000000000000000e+00,-3.011374700234922819e-01
3.200000000000001454e-02,1.541632501316054886e-02,-3.005482084145436050e-02,8.553291643341908168e-01,-1.668206513017053139e+00,0.000000000000000000e+00,-2.916821644816081083e-01
3.400000000000001632e-02,1.716152558308927517e-02,-3.345878969088899452e-02,8.897847953981468105e-01,-1.735597844590236249e+00,0.000000000000000000e+00,-2.829367900122307655e-01
3.600000000000001810e-02,1.897393701363739998e-02,-3.699425351313371385e-02,9.225363796256191851e-01,-1.799694540961762401e+00,0.000000000000000000e+00,-2.747827972447423051e-01
3.800000000000001987e-02,2.085020933477535129e-02,-4.065473725236044833e-02,9.536422066449110613e-01,-1.860611131758403092e+00,0.000000000000000000e+00,-2.672691431153195740e-01
4.000000000000002165e-02,2.278711670787163593e-02,-4.443400957995242984e-02,9.831681162526383355e-01,-1.918476811096467616e+00,0.000000000000000000e+00,-2.602892422261921523e-01
4.200000000000002343e-02,2.478155165485699390e-02,-4.832607155147672362e-02,1.011166629519349991e+00,-1.973394770025910017e+00,0.000000000000000000e+00,-2.538792975720637335e-01
4.400000000000002520e-02,2.683051755821376158e-02,-5.232514189821117767e-02,1.037696083901864297e+00,-2.025479489596647031e+00,0.000000000000000000e+00,-2.479524955676351006e-01
4.600000000000002698e-02,2.893112379661147426e-02,-5.642564745921878344e-02,1.062804138316353786e+00,-2.074824597252449720e+00,0.000000000000000000e+00,-2.425366626790324553e-01
4.800000000000002875e-02,3.108057973737480759e-02,-6.062221138950799754e-02,1.086543120245861527e+00,-2.121532777393791314e+00,0.000000000000000000e+00,-2.375596498860451378e-01
5.000000000000003053e-02,3.327619067543881315e-02,-6.490964516520826566e-02,1.108956629723937493e+00,-2.165689666867536278e+00,0.000000000000000000e+00,-2.330454854722116276e-01
5.200000000000003231e-02,3.551535323914468967e-02,-6.928293955318023944e-02,1.130092397441728291e+00,-2.207388914592580242e+00,0.000000000000000000e+00,-2.289414637128336094e-01
5.400000000000003408e-02,3.779555337241126411e-02,-7.373726060471430532e-02,1.149992007430527874e+00,-2.246712154689002094e+00,0.000000000000000000e+00,-2.252383084541964842e-01
5.600000000000003586e-02,4.011435983763394358e-02,-7.826793692314766571e-02,1.168696692048140529e+00,-2.283740301253824434e+00,0.000000000000000000e+00,-2.219223434431679687e-01
5.800000000000003764e-02,4.246942290656968017e-02,-8.287045704467219109e-02,1.186246725995604656e+00,-2.318552368786994222e+00,0.000000000000000000e+00,-2.189802032755657213e-01
6.000000000000003941e-02,4.485847246775567787e-02,-8.754046568475844226e-02,1.202681448748462278e+00,-2.351225517211784410e+00,0.000000000000000000e+00,-2.163996032478557874e-01
6.200000000000004119e-02,4.727931627964266498e-02,-9.227376027109102097e-02,1.218039387816058916e+00,-2.381835293318899538e+00,0.000000000000000000e+00,-2.141694242793976688e-01
6.400000000000004297e-02,4.972983847940149610e-02,-9.706628797716473911e-02,1.232358391146647580e+00,-2.410455889966661491e+00,0.000000000000000000e+00,-2.122796609228921050e-01
6.600000000000004474e-02,5.220799834736615519e-02,-1.019141432563400451e-01,1.245675750356511235e+00,-2.437160387336524181e+00,0.000000000000000000e+00,-2.107213375599141791e-01
6.800000000000004652e-02,5.471182930452458959e-02,-1.068135658322169196e-01,1.258028310551513096e+00,-2.462020968002513577e+00,0.000000000000000000e+00,-2.094864169779133145e-01
7.000000000000004829e-02,5.723943811527373166e-02,-1.117609390910730416e-01,1.269452565777184683e+00,-2.485109103941319564e+00,0.000000000000000000e+00,-2.085677078617636515e-01
7.200000000000005007e-02,5.978900426663279200e-02,-1.167527888201298075e-01,1.279984740038607294e+00,-2.506495715373686206e+00,0.000000000000000000e+00,-2.079587729400736440e-01
7.400000000000005185e-02,6.235877949525557573e-02,-1.217857822357058944e-01,1.289660854095453058e+00,-2.526251301842382002e+00,0.000000000000000000e+00,-2.076538379444382021e-01
7.600000000000005362e-02,6.494708743404613294e-02,-1.268567272462317042e-01,1.298516778290054408e+00,-2.544446046034294362e+00,0.000000000000000000e+00,-2.076477009275428942e-01
7.800000000000005540e-02,6.755232335066865823e-02,-1.319625718960558691e-01,1.306588271637034504e+00,-2.561149890796940110e+00,0.000000000000000000e+00,-2.079356412062685344e-01
8.000000000000005718e-02,7.017295395063315178e-02,-1.371004039367463012e-01,1.313911007336401537e+00,-2.576432589669763740e+00,0.000000000000000000e+00,-2.085133270374412151e-01
8.200000000000005895e-02,7.280751721787483144e-02,-1.422674504730588319e-01,1.320520584784512730e+00,-2.590363731079992959e+00,0.000000000000000000e+00,-2.093767210200450368e-01
8.400000000000006073e-02,7.545462226579240095e-02,-1.474610776308471483e-01,1.326452528055174662e+00,-2.603012736153668349e+00,0.000000000000000000e+00,-2.105219821193417273e-01
8.600000000000006251e-02,7.811294917154033846e-02,-1.526787901938665426e-01,1.331742270708799802e+00,-2.614448829869516100e+00,0.000000000000000000e+00,-2.119453631139296412e-01
8.800000000000006428e-02,8.078124876596094739e-02,-1.579182311556347473e-01,1.336425126661960228e+00,-2.624740985038482410e+00,0.000000000000000000e+00,-2.136431021715209932e-01
