time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.597924784340776672e-01
2.000000000000000042e-03,1.289370294982395738e-04,-2.512783236957423180e-04,1.289309836760063332e-01,-2.512668651548880527e-01,0.000000000000000000e+00,-9.052541791191945908e-01
4.000000000000000083e-03,5.083489311188774682e-04,-9.906973090968004738e-04,2.504630764004305843e-01,-4.881183018926654738e-01,0.000000000000000000e+00,-8.541418329105321394e-01
6.000000000000000125e-03,1.123828546745761405e-03,-2.190191056276896524e-03,3.649874432613187114e-01,-7.113202838197014710e-01,0.000000000000000000e+00,-8.062469374205952777e-01
8.000000000000000167e-03,1.961726123410462846e-03,-3.823176810614711818e-03,4.728702405515120555e-01,-9.215898205369277285e-01,0.000000000000000000e+00,-7.613751281627660905e-01
1.000000000000000021e-02,3.009100770126386069e-03,-5.864459915838430952e-03,5.744541183740882184e-01,-1.119597893879618056e+00,0.000000000000000000e+00,-7.193452938015941767e-01
1.200000000000000025e-02,4.253674956287327794e-03,-8.290144711801072236e-03,6.700597527256226815e-01,-1.305972452920383331e+00,0.000000000000000000e+00,-6.799886811775928130e-01
1.400000000000000029e-02,5.683792068734780031e-03,-1.107755141244331186e-02,7.599873666406451456e-01,-1.481301388481222281e+00,0.000000000000000000e+00,-6.431480123168540342e-01
1.600000000000000033e-02,7.288376975583198483e-03,-1.420513886404000010e-02,8.445182115135242418e-01,-1.646135430488300466e+00,0.000000000000000000e+00,-6.086766290648518707e-01
1.800000000000000211e-02,9.056899496243674824e-03,-1.765243298835700650e-02,9.239159886012059397e-01,-1.800990928911748501e+00,0.000000000000000000e+00,-5.764376759543163864e-01
2.000000000000000389e-02,1.097934064407588700e-02,-2.139996065051035304e-02,9.984281975063281633e-01,-1.946352492347538377e+00,0.000000000000000000e+00,-5.463033280997938723e-01
2.200000000000000566e-02,1.304616148700074932e-02,-2.542918864982682617e-02,1.068287403594471607e+00,-2.082675468398641705e+00,0.000000000000000000e+00,-5.181540680413866395e-01
2.400000000000000744e-02,1.524827445930525965e-02,-2.972246750814372396e-02,1.133712420171910429e+00,-2.210388257603282280e+00,0.000000000000000000e+00,-4.918780133255166165e-01
2.600000000000000921e-02,1.757701695249556939e-02,-3.426297971930799408e-02,1.194909404127592722e+00,-2.329894458299756721e+00,0.000000000000000000e+00,-4.673702950438606285e-01
2.800000000000001099e-02,2.002412701264478026e-02,-3.903469212269611299e-02,1.252072865851304728e+00,-2.441574843952611484e+00,0.000000000000000000e+00,-4.445324864212698013e-01
3.000000000000001277e-02,2.258172097488155006e-02,-4.402231206971798927e-02,1.305386595756405255e+00,-2.545789177441119655e+00,0.000000000000000000e+00,-4.232720797465605034e-01
3.200000000000001454e-02,2.524227287143226278e-02,-4.921124706345006428e-02,1.355024510798561455e+00,-2.642877868898964255e+00,0.000000000000000000e+00,-4.035020093967595090e-01
3.400000000000001632e-02,2.799859545716660778e-02,-5.458756756620351813e-02,1.401151425099009362e+00,-2.733163485104164625e+00,0.000000000000000000e+00,-3.851402183537679380e-01
3.600000000000001810e-02,3.084382270529731004e-02,-6.013797268678469643e-02,1.443923749235094922e+00,-2.816952119313247849e+00,0.000000000000000000e+00,-3.681092654049676338e-01
3.800000000000001987e-02,3.377139363528916527e-02,-6.584975847754423461e-02,1.483490123016193429e+00,-2.894534630938783604e+00,0.000000000000000000e+00,-3.523359701196285831e-01
